time,dcBusVoltage
248.498, 113.1999969
248.602, 113.1999969
248.709, 113.1999969
248.816, 113.0999985
248.925, 113.0999985
249.031, 113.0999985
249.138, 112.8999939
249.244, 112.8999939
249.354, 112.8999939
249.46, 112.7999954
249.569, 112.3999939
249.676, 112.5
249.78, 115.0999985
249.884, 116.6999969
249.996, 117.4000015
250.102, 117.5999985
250.207, 117.6999969
250.31, 117.7999954
250.42, 117.7999954
250.529, 117.7999954
250.638, 117.9000015
250.742, 117.9000015
250.851, 117.9000015
250.96, 117.9000015
251.064, 118
251.155, 118
251.264, 118.0999985
251.37, 118
251.48, 118
251.589, 118.0999985
251.696, 118.0999985
251.805, 118.1999969
251.911, 118.1999969
252.013, 118.1999969
252.119, 118.1999969
252.231, 118.1999969
252.337, 118.2999954
252.442, 118.2999954
252.553, 118.2999954
252.663, 118.2999954
252.769, 118.2999954
252.876, 118.2999954
252.985, 118.4000015
253.095, 118.4000015
253.201, 118.2999954
253.305, 118.4000015
253.411, 118.4000015
253.52, 118.4000015
253.627, 118.4000015
253.733, 118.5
253.843, 118.5
253.949, 118.5
254.059, 118.5
254.162, 118.5
254.269, 118.5
254.378, 118.5
254.485, 118.5
254.594, 118.5
254.698, 118.5
254.805, 118.5999985
254.911, 118.5
255.023, 117.9000015
255.132, 117.7999954
255.241, 117.2999954
255.348, 116.6999969
255.455, 116.2999954
255.562, 115.6999969
255.673, 115
255.778, 114.8999939
255.884, 114.8999939
255.994, 115
256.103, 114.8999939
256.212, 114.8999939
256.324, 114.6999969
256.434, 114.5999985
256.543, 114.5
256.649, 114.1999969
256.759, 114
256.865, 113.7999954
256.975, 113.5999985
257.081, 113.5
257.193, 113.3999939
257.302, 113.1999969
257.412, 113
257.521, 112.8999939
257.625, 112.7999954
257.732, 112.5999985
257.836, 112.5999985
257.947, 112.3999939
258.054, 112.3999939
258.161, 112.2999954
258.273, 112.1999969
258.382, 112.0999985
258.494, 112
258.6, 111.8999939
258.71, 111.7999954
258.811, 111.7999954
258.917, 111.7999954
259.027, 111.5999985
259.134, 111.5999985
259.243, 111.5
259.35, 111.2999954
259.461, 111.1999969
259.57, 111.0999985
259.68, 111.0999985
259.789, 111
259.901, 110.8999939
260.013, 110.7999954
260.125, 110.7999954
260.234, 110.7999954
260.346, 110.6999969
260.455, 110.5999985
260.565, 110.5
260.674, 110.5
260.781, 110.3999939
260.89, 110.5
260.996, 110.5
261.103, 110.5999985
261.212, 110.5999985
261.316, 110.5
261.42, 110.5
261.524, 110.3999939
261.631, 110.3999939
261.737, 110.2999954
261.846, 110.1999969
261.95, 110.1999969
262.062, 110.0999985
262.169, 110.0999985
262.275, 110.0999985
262.382, 110.0999985
262.491, 110
262.6, 110.0999985
262.691, 110.1999969
262.8, 110.0999985
262.907, 110.0999985
263.014, 110.2999954
263.12, 110.2999954
263.227, 110.2999954
263.336, 110.3999939
263.446, 110.3999939
263.549, 110.3999939
263.656, 110.3999939
263.765, 110.2999954
263.877, 110.3999939
263.987, 110.3999939
264.096, 110.5
264.207, 110.5
264.314, 110.5
264.42, 110.3999939
264.527, 110.3999939
264.637, 110.7999954
264.743, 110.5
264.85, 110.7999954
264.959, 110.8999939
265.068, 110.5
265.178, 110.2999954
265.284, 110.0999985
265.394, 110
265.505, 110
265.615, 109.6999969
265.724, 110.3999939
265.834, 110.2999954
265.943, 110.8999939
266.053, 110.8999939
266.161, 110.8999939
266.271, 111.0999985
266.377, 111.0999985
266.487, 111.0999985
266.596, 111.2999954
266.702, 111.2999954
266.809, 111.2999954
266.915, 111.3999939
267.025, 111.5999985
267.131, 112.3999939
267.238, 113
267.345, 113.5999985
267.449, 113.8999939
267.558, 113.8999939
267.664, 114
267.771, 114
267.88, 113.8999939
267.984, 113.5999985
268.096, 113.2999954
268.202, 113.0999985
268.306, 112.7999954
268.416, 112.8999939
268.527, 113
268.634, 113.2999954
268.741, 113.5
268.847, 113.8999939
268.957, 114.0999985
269.063, 114.0999985
269.17, 114.0999985
269.279, 114.0999985
269.383, 114.1999969
269.489, 114.1999969
269.597, 114
269.706, 113.8999939
269.815, 113.7999954
269.924, 114.5999985
270.036, 116.0999985
270.143, 116.9000015
270.249, 117.0999985
270.359, 117.1999969
270.465, 117.1999969
270.575, 117.1999969
270.681, 117.2999954
270.791, 117.2999954
270.894, 117.4000015
271.004, 117.4000015
271.11, 117.4000015
271.212, 117.4000015
271.318, 117.5
271.425, 117.5
271.531, 117.4000015
271.638, 117.5
271.744, 117.5
271.853, 117.5
271.96, 117.5999985
272.07, 117.5999985
272.179, 117.5999985
272.289, 117.6999969
272.395, 117.5999985
272.504, 117.5999985
272.608, 117.6999969
272.717, 117.6999969
272.824, 117.6999969
272.932, 117.6999969
273.043, 117.7999954
273.153, 117.6999969
273.262, 117.7999954
273.374, 117.6999969
273.486, 117.7999954
273.595, 117.7999954
273.701, 117.7999954
273.805, 117.7999954
273.918, 117.7999954
274.027, 117.7999954
274.136, 117.9000015
274.246, 117.9000015
274.353, 117.9000015
274.462, 117.9000015
